Name,Business Description,Category,Zoning,DataParsing.Address,Neighbourhood,Neighbourhood ID,Latitude,Longitude,Point
THE DISCOUNT LIQUOR,retail liquor store,Alcohol Sales (Consumption Off Premises),DC2,5 13651 - ST ALBERT TRAIL NW,MCARTHUR INDUSTRIAL,3290,53.59839482,-113.5730615,POINT (-113.573061522526 53.598394823344)
DELTON LIQUOR MART,,Alcohol Sales (Consumption Off Premises),CB2,6 8103 - 127 AVENUE NW,YELLOWHEAD CORRIDOR EAST,1270,53.58423465152739,-113.4660779,POINT (-113.466077858565 53.584234651527)
LIQUOR ISLAND,LIQUOR STORE,Alcohol Sales (Consumption Off Premises),DC1 CB2,7808 - GATEWAY BOULEVARD NW,STRATHCONA JUNCTION,5151,53.51466427306086,-113.4948706,POINT (-113.494870591643 53.514664273061)
LIQUOR VAULT,Retail Liquor Store.,Alcohol Sales (Consumption Off Premises),CSC,13704 - CASTLE DOWNS ROAD NW,CARLISLE,3090,53.60021492959483,-113.5176345,POINT (-113.517634516838 53.600214929595)
ALBERTINO LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,7244 - 101 AVENUE NW,TERRACE HEIGHTS,6730,53.54146041073191,-113.4391839,POINT (-113.439183949836 53.541460410732)
AD LIQUOR MART,Liquor Store,Alcohol Sales (Consumption Off Premises),CO,11836 - WAYNE GRETZKY DRIVE NORTHBOUND NW,MONTROSE,2550,53.57164461454941,-113.4525787,POINT (-113.452578652456 53.571644614549)
LIQUOR 118,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,8933 - 118 AVENUE NW,ALBERTA AVENUE,1010,53.570025700475625,-113.4793,POINT (-113.479299975498 53.570025700476)
RICKY'S LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 DC2 DC2 DC2 DC2,6114 - 50 STREET NW,ROPER INDUSTRIAL,6640,53.49908422396972,-113.4244125,POINT (-113.424412546299 53.49908422397)
121 JASPER LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CB3,12110 - JASPER AVENUE NW,OLIVER,1150,53.54124830390268,-113.5311737,POINT (-113.531173710793 53.541248303903)
SOBEYS LIQUOR TAMARACK #5464,To operate a Major Alcohol Sales,Alcohol Sales (Consumption Off Premises),CSC,2425 - 17 STREET NW,TAMARACK,6443,53.45666269698649,-113.3674673,POINT (-113.367467278021 53.456662696986)
DAHLAK LIQUOR STORE,Liquor Store & minor retail,Alcohol Sales (Consumption Off Premises),CB1,10724 - 107 AVENUE NW,CENTRAL MCDOUGALL,1030,53.55172517888668,-113.5060642,POINT (-113.506064203082 53.551725178887)
TOPS LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,7440 - 82 AVENUE NW,KENILWORTH,6350,53.51835637870328,-113.4418005,POINT (-113.441800520125 53.518356378703)
